Packet [ 499 ]: 500587.74271, 3,   1.302,  4.262,  7.767
Packet [ 303 ]: 500588.81771, 3,   0.182,  4.894,  8.121, 4,  -0.044, -0.020,  0.002, 5, -342.250, 39.438,-65.313
Packet [ 302 ]: 500588.82268, 3,   0.239,  4.875,  8.112, 4,  -0.046, -0.020,  0.000
Packet [ 301 ]: 500588.82769, 3,   0.239,  4.855,  8.102, 4,  -0.051, -0.016, -0.002, 5, -341.688, 39.750,-65.625
Packet [ 300 ]: 500588.83269, 3,   0.201,  4.855,  8.102, 4,  -0.054, -0.013, -0.007
Packet [ 299 ]: 500588.83770, 3,   0.201,  4.836,  8.112, 4,  -0.051,  0.000, -0.016, 5, -341.813, 40.063,-65.063
Packet [ 298 ]: 500588.84271, 3,   0.172,  4.855,  8.112, 4,  -0.050,  0.005, -0.020
Packet [ 297 ]: 500588.84768, 3,   0.201,  4.855,  8.121, 4,  -0.043,  0.018, -0.026, 5, -341.813, 40.188,-65.250
Packet [ 296 ]: 500588.85269, 3,   0.211,  4.855,  8.150, 4,  -0.040,  0.023, -0.024
Packet [ 295 ]: 500588.85769, 3,   0.192,  4.875,  8.179, 4,  -0.032,  0.039, -0.024, 5, -342.000, 40.313,-65.250
Packet [ 294 ]: 500588.86270, 3,   0.192,  4.894,  8.236, 4,  -0.031,  0.048, -0.024
Packet [ 293 ]: 500588.86770, 3,   0.115,  4.942,  8.351, 4,  -0.027,  0.053, -0.026, 5, -341.625, 40.563,-65.188
Packet [ 292 ]: 500588.87271, 3,   0.096,  4.932,  8.447, 4,  -0.023,  0.053, -0.022
Packet [ 291 ]: 500588.87768, 3,   0.105,  4.922,  8.504, 4,  -0.017,  0.049, -0.016, 5, -341.875, 40.500,-64.938
Packet [ 290 ]: 500588.88269, 3,   0.153,  4.894,  8.562, 4,  -0.006,  0.042, -0.011
Packet [ 289 ]: 500588.88769, 3,   0.182,  4.846,  8.562, 4,   0.004,  0.032, -0.010, 5, -341.813, 40.188,-64.938
Packet [ 288 ]: 500588.89270, 3,   0.220,  4.808,  8.514, 4,   0.016,  0.018, -0.010
Packet [ 287 ]: 500588.89770, 3,   0.211,  4.769,  8.447, 4,   0.028,  0.006, -0.012, 5, -341.750, 39.875,-65.250
Packet [ 286 ]: 500588.90271, 3,   0.220,  4.760,  8.341, 4,   0.037, -0.009, -0.018
Packet [ 285 ]: 500588.90768, 3,   0.211,  4.750,  8.255, 4,   0.046, -0.015, -0.033, 5, -341.563, 39.938,-65.313
Packet [ 284 ]: 500588.91269, 3,   0.211,  4.760,  8.188, 4,   0.048, -0.015, -0.038
Packet [ 283 ]: 500588.91769, 3,   0.249,  4.760,  8.131, 4,   0.053, -0.011, -0.055, 5, -341.625, 40.125,-65.563
Packet [ 282 ]: 500588.92270, 3,   0.211,  4.798,  8.054, 4,   0.051, -0.007, -0.059
Packet [ 281 ]: 500588.92771, 3,   0.182,  4.817,  7.997, 4,   0.053, -0.001, -0.071, 5, -341.375, 40.313,-65.750
Packet [ 280 ]: 500588.93268, 3,   0.153,  4.827,  7.939, 4,   0.050,  0.002, -0.075
Packet [ 279 ]: 500588.93769, 3,   0.029,  4.875,  7.920, 4,   0.040,  0.013, -0.078, 5, -341.313, 40.500,-66.125
Packet [ 278 ]: 500588.94273, 3,  -0.077,  4.884,  7.920, 4,   0.037,  0.020, -0.077
Packet [ 277 ]: 500588.94770, 3,  -0.096,  4.932,  7.930, 4,   0.018,  0.034, -0.068, 5, -341.125, 40.938,-65.625
Packet [ 276 ]: 500588.95270, 3,  -0.153,  5.028,  8.035, 4,   0.007,  0.042, -0.060
Packet [ 275 ]: 500588.95771, 3,  -0.153,  5.028,  8.035, 4,  -0.011,  0.049, -0.038, 5, -341.125, 41.125,-65.500
Packet [ 274 ]: 500588.96268, 3,  -0.153,  5.018,  8.102, 4,  -0.011,  0.049, -0.038
Packet [ 273 ]: 500588.96769, 3,  -0.105,  5.028,  8.150, 4,  -0.016,  0.051, -0.026, 5, -341.375, 40.938,-65.125
Packet [ 272 ]: 500588.97269, 3,  -0.096,  5.028,  8.274, 4,  -0.018,  0.054, -0.016
Packet [ 271 ]: 500588.97770, 3,  -0.096,  5.018,  8.332, 4,  -0.020,  0.054, -0.007, 5, -341.563, 41.125,-64.875
Packet [ 270 ]: 500588.98271, 3,  -0.057,  4.990,  8.399, 4,  -0.016,  0.053,  0.001
